
---------- Begin Simulation Statistics ----------
final_tick                                 2036239000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 250739                       # Simulator instruction rate (inst/s)
host_mem_usage                                 653556                       # Number of bytes of host memory used
host_op_rate                                   447713                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                    32.32                       # Real time elapsed on the host
host_tick_rate                               62999995                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                     8104173                       # Number of instructions simulated
sim_ops                                      14470629                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.002036                       # Number of seconds simulated
sim_ticks                                  2036239000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   1486341                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  1779139                       # number of cc regfile writes
system.cpu.committedInsts                     8104173                       # Number of Instructions Simulated
system.cpu.committedOps                      14470629                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.502516                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.502516                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                  13370854                       # number of floating regfile reads
system.cpu.fp_regfile_writes                 11863807                       # number of floating regfile writes
system.cpu.idleCycles                           37768                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                  983                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                   297489                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     3.559269                       # Inst execution rate
system.cpu.iew.exec_refs                      2771350                       # number of memory reference insts executed
system.cpu.iew.exec_stores                     133173                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                   27061                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2625552                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  2                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                83                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts               133595                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            14487692                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2638177                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts              2573                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              14495047                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   1919                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                  2456                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                    903                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                  4561                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             10                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect          655                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect            328                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  10334202                       # num instructions consuming a value
system.cpu.iew.wb_count                      14480198                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.675003                       # average fanout of values written-back
system.cpu.iew.wb_producers                   6975621                       # num instructions producing a value
system.cpu.iew.wb_rate                       3.555623                       # insts written-back per cycle
system.cpu.iew.wb_sent                       14480607                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                  8127893                       # number of integer regfile reads
system.cpu.int_regfile_writes                 2152421                       # number of integer regfile writes
system.cpu.ipc                               1.989985                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.989985                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass              1003      0.01%      0.01% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu               2546675     17.57%     17.57% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    5      0.00%     17.57% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    21      0.00%     17.57% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd             4720918     32.56%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                  157      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   46      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              262366      1.81%     51.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     51.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     51.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     51.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     51.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     51.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     51.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd         2097152     14.47%     66.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     66.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     66.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               1      0.00%     66.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     66.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     66.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult        2097152     14.47%     80.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     80.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     80.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     80.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     80.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     80.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     80.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     80.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     80.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     80.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     80.88% # Type of FU issued
